Joke,Joke Search Criteria,Meta Joke, Meta,Primary Tag,Tags,
"My Soul,""My Soul, Your Beats!",Angel Beats,Anime,Song,,,
Shadow,"""Shadow""",Chromatics,Artist (Music),Song,,
Drop It Like It's Hot,Drop It Like It's Hot,Snoop Dogg,Artist (Music),Song,,
Daytona.The Midnight,"""Daytona""",The Midnight,Artist (Music),Song,,
It's Gonna Be Me,It's Gonna Be Me,NSYNC,Artist (Music),Song,,
Goodbye to a World,Goodbye to a World,Porter Robinson,Artist (Music),Song,,
It's just a burning memory,It's just a burning memory,The Caretaker,Artist (Music),Song,,
Halcyon Memories,"""Halcyon Memories""",Rain World,Video Game&|Video Game Music,Song,,
Heal,"""Heal""",OMORI,Video Game&|Video Game Music,Song,,
The Fun House,"""The Fun House""",Spider-Man (Genesis),Video Game&|Video Game Music,Song,,
The Holy Grail Theme,"""The Holy Grail Theme""",Indiana Jones and the Last Crusade,Film,Motif,,
Never Gonna Give You Up,Never Gonna Give You Up,Rick Astley,Artist (Music),Song,,
Do You Wanna Fly,Do You Wanna Fly,Norma Sheffield,Artist (Music),Song,,
Live & Learn,Live & Learn,Sonic Adventure 2,Video Game&|Video Game Music,Song,,
Chainlink Charge,Chainlink Charge,Super Mario 3D World,Video Game&|Video Game Music,Song,,
Gentle Breeze,"""Gentle Breeze""",Trauma Center: Under the Knife 2,Video Game&|Video Game Music,Song,,
Raid,"""Raid""",Madvillain,Artist (Music),Song,,
The New Workout Plan,The New Workout Plan,Kanye West,Artist (Music),Song,,
Where Everybody Knows Your Name,Where Everybody Knows Your Name,Gary Portnoy,Artist (Music),Song,,
Goldenrod City,Goldenrod City,Pokémon Gold & Silver,Video Game&|Video Game Music,Song,,
Clocks,"""Clocks""",Coldplay,Artist (Music),Song,,
Pain,"""Pain""",PinkPantheress,Artist (Music),Song,,
Down To Earth,"""Down To Earth""",Peter Gabriel,Artist (Music),Song,,
mumei,"""mumei""",Nanashi Mumei,V-Tuber,Song,,
The Mollusk,"""The Mollusk""",Ween,Artist (Music),Song,,
Time: The Donut of the Heart,Time: The Donut of the Heart,J Dilla,Artist (Music),Song,,
The Dream Discoveries Tour,The Dream Discoveries Tour,Kirby and the Forgotten Land,Video Game&|Video Game Music,Song,,
Home,Home&|Madeon,Madeon,Artist (Music),Song,,
Rainbow Tylenol,Rainbow Tylenol,Kitsune²,Artist (Music),Song,,
Lookie! You've found a steamy surprise.,Lookie! You've found a steamy surprise.,Sugary Spire,Video Game&|Video Game Music,Song,,
100 Sunny,100 Sunny,OMORI,Video Game&|Video Game Music,Song,,
I Will Always Remember You,I Will Always Remember You,Miley Cyrus,Artist (Music),Song,,
Langit Ang Ibigin Ka,Langit Ang Ibigin Ka,Jolina Magdangal,Artist (Music),Song,,
Unbreakable Determination,Unbreakable Determination,Ninja Gaiden,Video Game&|Video Game Music,Song,,
Whistle,"""Whistle""",Flo Rida,Artist (Music),Song,,
First Steps,"""First Steps""",Celeste,Video Game&|Video Game Music,Song,,
Rock My Emotions,Rock My Emotions,Kitsune²,Artist (Music),Song,,
hmmm look what u done did you found a secret :),hmmm look what u done did you found a secret :),Pizza Tower,Video Game&|Video Game Music,Song,,
SPIDEY N BADMAN CLAP THEM THIGHS,SPIDEY N BADMAN CLAP THEM THIGHS,Meme,Meme,Video,,
Squeeze,"""Squeeze""",Fifth Harmony,Artist (Music),Song,,
Ain't It Funny,"""Ain't It Funny""",Danny Brown,Artist (Music),Song,,
My House,"""My House""",Flo Rida,Artist (Music),Song,,
One-Winged Angel,One-Winged Angel,Final Fantasy VII,Video Game&|Video Game Music,Song,,
Raindrop Flower,"""Raindrop Flower""",Maple Story,Video Game&|Video Game Music,Song,,
The Girl from Ipanema,The Girl from Ipanema,Antônio Carlos Jobim,Artist (Music),Song,,
The Girl from Ipanema,The Girl from Ipanema,Vinícius de Moraes,Artist (Music),Song,,
Grassland Theme,Grassland Theme&|Wonder,Super Mario Bros. Wonder,Video Game&|Video Game Music,Song,,
Corridors of Time,Corridors of Time,Chrono Trigger,Video Game&|Video Game Music,Song,,
Suit & Tie,Suit & Tie,Justin Timberlake,Artist (Music),Song,,
Suit & Tie,Suit & Tie, JAY-Z,Artist (Music),Song,,
Be Nice 2 Me,Be Nice 2 Me,Bladee,Artist (Music),Song,,
Crank Dat Super Mario,Crank Dat Super Mario,Crank Squad,Artist (Music),Song,,
Mad Mew Mew,Mad Mew Mew,Undertale,Video Game&|Video Game Music,Song,,
Double Life,Double Life&|Pharell,Pharrell Williams,Artist (Music),Song,,
Come Together,Come Together&|Beatles,The Beatles,Artist (Music),Song,,
Broccoli,Broccoli&|DRAM,DRAM,Artist (Music),Song,,
Broccoli,Broccoli&|DRAM,Lil Yachty,Artist (Music),Song,,
The Yoshi Clan,The Yoshi Clan,Yoshi's New Island,Video Game&|Video Game Music,Song,,
Valley of the Damned,Valley of the Damned&|DragonForce,DragonForce,Artist (Music),Song,,
Your Love,Your Love&|Outfield,The Outfield,Artist (Music),Song,,
Red Wine Supernova,Red Wine Supernova,Chappell Roan,Artist (Music),Song,,
Spoiled little brat,Spoiled little brat&|underscores,underscores,Artist (Music),Song,,
Doin' Your Mom,Doin' Your Mom,Fatty Spins,Artist (Music),Song,,
Can't Hold Us,Can't Hold Us,Macklemore & Ryan Lewis,Artist (Music),Song,,
Wood Man Stage,Wood Man Stage,Mega Man 2,Video Game&|Video Game Music,Song,,
mm2wood,mm2wood,Mega Man 2,Video Game,MIDI,Song,
The Lick,The Lick,Jazz Music,Music,Lick,,
Daddy,Daddy&|PSY,Psy,Artist (Music),Song,,
Ball Chime,Ball Chime&|Undertale,Undertale,Video Game&|Video Game Music,Song,,
"Truth, Beauty and Hatred","Truth, Beauty and Hatred",Hollow Knight,Video Game&|Video Game Music,Song,,
O que Pensa que Eu Sou,O que Pensa que Eu Sou,Banda Djavú,Artist (Music),Song,,
Unfabulous,Unfabulous&|show,Unfabulous,TV Series,Song,Theme Song,
Me at the zoo,Me at the zoo,Jawed Karim,Viral Video,Video,,
Elephant,Elephant&|Tame Impala,Tame Impala,Artist (Music)&|2010s Music,Song,,
W. D. Gaster,W. D. Gaster,Undertale,Video Game,Character,,
San Diego Zoo,San Diego Zoo,The 6ths,Artist (Music)&|1990s Music,Song,,
San Diego Zoo,San Diego Zoo,Barbara Manning,Artist (Music)&|1990s Music,Song,,
Daisy Bell,Daisy Bell,Harry Dacre,Artist (Music),Song,,
Zoo Boo,Zoo Boo,Parry Gripp,Artist (Music)&|2010s Music,Song,,
Stingy,Stingy&|a voice,Lazy Town,TV Series,Character,,
The Amazing World of Gumball End Credits,credits&|The Amazing World of Gumball,The Amazing World of Gumball,Animated Series,Song,,
Welcome to the Zoo,Welcome to the Zoo&|Putt,Putt-Putt Saves the Zoo,Video Game,Song,,
Save The Animals,Save The Animals&|Accounting,Accoutning+,Video Game,Song,,
Don't Forget,Don't Forget&|Deltarune,Deltarune,Video Game&|Video Game Music,Song,,
Bonus Level (Plok),Bonus Level&|Plok,Plok,Video Game&|Video Game Music,Song,,
Other (yungatita),Other&|yungatita,yungatita,Artist (Music),Song,,
Mega Man (Jay Eazy),Mega Man&|Jay Eazy,Jay Eazy,Artist (Music),Song,,
Respect Your Elders,Respect Your Elders&|Jay Eazy,Jay Eazy,Artist (Music),Song,,
London Beckoned Songs About Money Written by Machines,London Beckoned Songs About Money Written by Machines,Panic! At The Disco,Artist (Music)&|2000s Music,Song,,
But It’s Better If You Do,But It’s Better If You Do,Panic! At The Disco,Artist (Music)&|2000s Music,Song,,
Obama (Lil Pump),Obama&|Lil Pump,Lil Pump,Artist (Music),Song,,
Barack Obama vs Mitt Romney,Barack Obama vs Mitt Romney,Epic Rap Battles,Content Creator,Video,Song,
Whoopty,Whoopty&|CJ,CJ,Artist (Music)&|2020s Music,Song,,
No More Nuzzles,No More Nuzzles,UNDERTALE: Halloween Hack,Video Game&|Video Game Music,Song,,
Once in a Lifetime,Once in a Lifetime&|Talking Heads,Talking Heads,Artist (Music)&|1980s Music,Song,,
Once in a Lifetime (Muppets),Once in a Lifetime&|Muppets,Muppets Tonight,TV Series,Song,,
Old money bitch,Old money bitch,underscores,Artist (Music)&|2020s Music,Song,,
The Noble Haltmann,The Noble Haltmann,Kriby: Planet Robobot,Video Game&|Video Game Music,Song,,
Game with Rabbit,Game with Rabbit,Othello World,Video Game&|Video Game Music,Song,,
Watch Me (Whip/Nae Nae),Nae Nae,Silentó,Artist (Music),Song,,
New Friendly,“New Friendly”,Kevin MacLeod,Artist (Music),Song,Royalty Free,
Who Likes To Party,“Who Likes To Party”,Kevin MacLeod,Artist (Music),Song,Royalty Free,
Area Zero,Area Zero,Pokémon Scarlet & Violet,Video Game,Song,,
Griddy dance,Griddy dance,pix3lface,Viral Video,Video,,
P-R-O-G-R-A-M,P-R-O-G-R-A-M,Kirby Planet Robobot,Video Game,Song,,
いつもどんなときも、全員のために,いつもどんなときも、全員のために,Love Live! School Idol Project,Anime,Song,,
Beat in Angel,Beat in Angel,'Love Live! TV Anime Blu-ray,Anime,Song,,
Aishiteru Banzai!,Aishiteru Banzai!,Love Live!,Anime,Song,,
Light Year (BUNT. Remix),Light Year&|BUNT.,Adam Melchor & Lennon Stella,Artist (Music),Song,,
Walking In L.A.,Walking In L.A.,Missing Persons,Artist (Music),Song,,
Daring!!,Daring!!&|Love Live!,Love Live!,Anime,Song,,
Tequila,Tequila,The Champs,Artist (Music),Song,,
Diamond Princess no Yuuutsu,Diamond Princess no Yuuutsu,Love Live!,Anime,Song,,
Family Matters,Family Matters,Drake,Artist (Music),Song,,
Merry-Go-Round,Merry-Go-Round&|Mario 64,Super Mario 64,Video Game,Song,,
It's Showtime!,It's Showtime!&|Undertale,Undertale,Video Game,Song,,
Amphibia Main Title Theme,Amphibia Main Title Theme,Amphibia,Animated Series,Song,,
WWE: I Won't Do What You Tell Me (Stone Cold Steve Austin) (Original Theme),WWE: I Won't Do What You Tell Me (Stone Cold Steve Austin) (Original Theme),Jim Johnston,Artist (Music),Song,,
Blazing Kinnikuman,Blazing Kinnikuman,Kinnikuman,Anime,Song,,
Local Forecast,Local Forecast,Kevin MacLeod,Artist (Music),Song,Royalty Free,
Foreigner in Zeal (Flooded Caves),Foreigner in Zeal (Flooded Caves),The Binding of Isaac: Antibirth,Video Game,Song,,
Lil Nuggit,Lil Nuggit,Chi-Chi,Artist (Music),Song,,
Hey Jude,Hey Jude,The Beatles,Artist (Music),Song,,
Neko Matsuri,Neko Matsuri,Irodorimidori,Anime,Song,,
"Get Up I Feel Like Being Like A Sex Machine, Pts. 1 & 2","Get Up I Feel Like Being Like A Sex Machine, Pts. 1 & 2",James Brown,Artist (Music),Song,,
Saidai Seichi Carnival,Saidai Seichi Carnival,Lucky Star,Anime,Song,,
The Nutshack (Intro),The Nutshack Intro,The Nutshack,Animated Series,Song,Theme Song,
Pinball Number Count,Pinball Number Count,Sesame Street,TV Series,Song,,
Pinball Number Count,Pinball Number Count&|Pointer Sisters,Pointer Sisters,Artist (Music),Song,,
Mocha,Mocha&|Hyp3rsleep,Hyp3rsleep,Artist (Music),Song,,
Lagtrain,Lagtrain,inabakumori,Vocaloid,Song,,
My Shiny Teeth And Me,My Shiny Teeth And Me,The Fairly OddParents,Animated Series,Song,,
Watch Me (Whip/Nae Nae) (Nickelodeon Labor Day weekend),Nae Nae&|Nickelodeon Labor,Nickelodeon,Company,Song,,
Main Theme (Balatro),Main Theme&|Balatro,Balatro,Video Game,Song,,
Avril 14th,Avril 14th,Aphex Twin,Artist (Music),Song,,
Xtal,Xtal,Aphex Twin,Artist (Music),Song,,
Hard Technology Rock,Hard Technology Rock,Half-Life,Video Game,Song,,
Windowlicker,Windowlicker,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
#16,#16&|Aphex,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Grey Stripe,Grey Stripe&|Aphex,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Polynomial-C,Polynomial-C,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
sk8 littletune HS-PC202,sk8 littletune HS-PC202,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Bucephalus Bouncing Ball,Bucephalus Bouncing Ball,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
#19,#19&|Aphex,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Stone in Focus,Stone in Focus,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
PAPAT4 [155] (pineal mix),PAPAT4 [155] (pineal mix),Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Donkey Rhubarb,Donkey Rhubarb,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
4 (Aphex Twin),4&|Aphex Twin,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
#3,#3&|Aphex Twin,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Stop posting about Among Us!,Stop posting about Among Us!,biggayrapper,Viral Video,Video,,
Among Us Trap Remix,Among Us Trap Remix,Leonz,Artist (Music),Song,,
Fresh,Fresh&|Friday Night Funkin,Friday Night Funkin',Video Game,Song,,
#12,#12&|Aphex Twin,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
White Blur 1,White Blur 1,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
s950tx16wasr10 [163.97] (earth portal mix),s950tx16wasr10 [163.97] (earth portal mix),Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Ventolin (Video Version),Ventolin (Video Version),Aphex Twin,Artist (Music)&|Electronic Music,Song,,
73 Yips,73 Yips,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
54 Cymru Beats,54 Cymru Beats,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Fortnite (Diverse Character),Fortnite&|Diverse Character,Diverse Character,Artist (Music),Song,,
Alberto Balsalm,Alberto Balsalm,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Come to Daddy,Come to Daddy&|Aphex Twin,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Pulsewidth,Pulsewidth&|Aphex Twin,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
180db_,180db_,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Petiatil Cx Htdui,Petiatil Cx Htdui,Aphex Twin,Artist (Music)&|Electronic Music,Song,,
Squanny Smooth Jazz,Squanny Smooth Jazz,SpongeBob SquarePants,Animated Series,Song,,
BOMB,BOMB&|¥$,¥$,Artist (Music),Song,,
BOMB,BOMB&|Yuno Miles,Yuno Miles,Artist (Music),Song,,
Daylight,Daylight&|Drake,Drake,Artist (Music),Song,,
The Disaster of Passion (May's Theme),The Disaster of Passion (May's Theme),Guilty Gear Strive,Video Game,Song,,
Lonely Rolling Star,Lonely Rolling Star,Katamari Damacy,Video Game,Song,,
I'm Han Solo,I'm Han Solo,Kinect Star Wars,Video Game,Song,,
Mask,[[Mask]],Dream,Content Creator,Song,,
Is There Really No Happiness?,Is There Really No Happiness?,Porter Robinson,Artist (Music),Song,,
Trap Queen,Trap Queen,Fetty Wap,Artist (Music),Song,,
U Was At The Club (Bottoms Up),U Was At The Club (Bottoms Up),The BoyBoy West Coast,Artist (Music),Song,,
Tipsy,Tipsy&|clipping,clipping.,Artist (Music),Song,,
Worst Beat Ever Created,Worst Beat Ever Created,DistantCry,Artist (Music),Song,,
YO-KAI Disco (Hell's Entrance World),YO-KAI Disco (Hell's Entrance World),Mamorukun Curse!,Video Game,Song,,
Discord Notification,notification&|Discord,Discord,Software,Song,,
Desire Drive,Desire Drive,Touhou 13: Ten Desires,Video Game,Song,,
Sad Past,Sad Past&|Silent Partner,Silent Partner,Artist (Music),Song,,
Take On Me,Take On Me,a-ha,Artist (Music),Song,,
Pollyanna,Pollyanna,EarthBound Beginnings/MOTHER,Artist (Music),Song,,
Candy Mountain,Candy Mountain&|Kirby Super Star,Kirby Super Star,Video Game,Song,,
Cupid,Cupid&|FIFTY FIFTY,FIFTY FIFTY,Artist (Music),Song,,
Got A Lil Older,Got A Lil Older,SpotemGottem,Artist (Music),Song,,
Got A Lil Older,Got A Lil Older,Hurricane Wisdom,Artist (Music),Song,,
тёлка-дрейн (drain-girl),тёлка-дрейн (drain-girl),T1hxN,Artist (Music),Song,,
Creature City,Creature City,Vylet Pony,Artist (Music),Song,,
Forró (style),forró&|arrangement,Music Style,Music,Style,,
La noia,La noia,Angelina Mango,Artist (Music),Song,,
ERICDOA SINGS HIS HEART OUT FOR 2 HOURS LIVE! (WITH CHAT),ERICDOA SINGS HIS HEART OUT FOR 2 HOURS LIVE!,ericdoa,Artist (Music),Song,,
Squidward Yell,Squidward Yell,Dylan Wyatt Gordon Beats,Content Creator,Song,,
Per tutte le volte che...,Per tutte le volte che...,Valerio Scanu,Artist (Music),Song,,
Back To December,Back To December,Taylor Swift,Artist (Music),Song,,
Intro Theme (International Superstar Soccer 64),Intro Theme&|International Superstar Soccer 64,International Superstar Soccer 64,Video Game,Song,,
Item Bounce,Item Bounce&|Kirby Air Ride,Kirby Air Ride,Video Game,Song,,
Vacation,[[Vacation]],Dirty Heads,Artist (Music),Song,,
come again,come again&|m-flo,m-flo,Artist (Music),Song,,
Round and Round,Round and Round&|Lee Soo-in,Lee Soo-in,Artist (Music),Song,,
Potential for Anything,Potential for Anything,VVVVVV,Video Game,Song,,
ライアーダンサー (Liar Dancer),ライアーダンサー (Liar Dancer),masarada,Vocaloid,Song,,
ライアーダンサー (Liar Dancer),ライアーダンサー (Liar Dancer),Kasane Teto,Vocaloid,Song,,
Entrance of the Gladiators,Entrance of the Gladiators,Julius Fučík,Composer,Song,,
Big City Life,Big City Life,Bomb Rush Cyberfunk,Video Game,Song,,
"Goodbye Summer, Hello Winter","Goodbye Summer, Hello Winter",FantomenK,Artist (Music),Song,,
Rainbow Route,Rainbow Route,Kirby & The Amazing Mirror,Video Game,Song,,
Intro Stage (Kirby & The Amazing Mirror),Intro Stage&|Kirby & The Amazing Mirror,Kirby & The Amazing Mirror,Video Game,Song,,
Start Menu,Start Menu&|Undertale,Undertale,Video Game,Song,,
Menu (Full),Menu (Full)&|Undertale,Undertale,Video Game,Song,,
BROKE FEIN,BROKE FEIN&|BOM,BOM,Artist (Music),Song,,
I Can't Hear Out Of My Left Ear,I Can't Hear Out Of My Left Ear,Aunty Donna,Comedian,Song,,
Bãtutã Din Moldova,Bãtutã Din Moldova,Rabbids Go Home,Video Game,Song,,
Jesus Skit,Jesus Skit,Chief Keef,Artist (Music),Song,,
War,War&|Chief Keef,Chief Keef,Artist (Music),Song,,
ROT FOR CLOUT,ROT FOR CLOUT,Jamie Paige,Content Creator,Song,,
ROT FOR CLOUT,ROT FOR CLOUT,Kasane Teto,Vocaloid,Song,,
Inside a Cradle Overflowing with Light,Inside a Cradle Overflowing with Light,CLANNAD,Video Game,Song,,
Hotel California,Hotel California,Eagles,Artist (Music),Song,,
Gods Plant,Gods Plant,Rockit Music,Artist (Music),Song,,
メズマライザー (Mesmerizer),メズマライザー (Mesmerizer),サツキ (32ki),Vocaloid,Song,,
Ready To Die,Ready To Die&|Andrew,Andrew W.K.,Artist (Music),Song,,
We Are the Kids,We Are the Kids,WALK THE MOON,Artist (Music),Song,,
Nut Jump Dreams,Nut Jump Dreams,cjya,Artist (Music),Song,,
Johnny,Johnny&|Suicide,Suicide,Artist (Music),Song,,
Main Title (Banjo-Kazooie),Main Title&|Banjo-Kazooie,Banjo-Kazooie,Video Game,Song,,
luther,luther&|Kendrick,Kendrick Lamar,Artist (Music),Song,,
Ocean Man,Ocean Man&|Ween,Ween,Artist (Music),Song,,
Dark Side of Fate,Dark Side of Fate,Touhou 10: Mountain of Faith,Video Game,Song,,
The Princess and the Clock,The Princess and the Clock,Kero Kero Bonito,Artist (Music),Song,,
"Hey, Soul Sister","Hey, Soul Sister",Train,Artist (Music),Song,,
Never Ending Story,Never Ending Story&|Limahl,Limahl,Artist (Music),Song,,
MOTHER 3 Love Theme,MOTHER 3 Love Theme,MOTHER 3,Video Game,Song,,
If You Were Gay,If You Were Gay,Avenue Q,Artist (Music),Song,,
THE HOLY,THE HOLY,Deltarune,Video Game,Song,,
しう (SIU),しう (SIU),MARETU,Artist (Music),Song,,
しう (SIU),しう (SIU),Hatsune Miku,Vocaloid,Song,,
Chicken Fried,Chicken Fried,Zac Brown Band,Artist (Music),Song,,
Soldier (Team Fortress 2),Soldier&|Team Fortress 2,Team Fortress 2,Video Game,Song,,
Hai Yorokonde,Hai Yorokonde,Kocchi no Kento,Artist (Music),Song,,
Low,[[Low]],Flo Rida,Artist (Music),Song,,
Menu Theme (Battleblock Theater),Menu Theme&|Battleblock,Battleblock Theater,Artist (Music),Song,,
Tribute,Tribute&|Tenacious D,Tenacious D,Artist (Music),Song,,
Chicken jockey!,Chicken jockey!,A Minecraft Movie,Film,Meme,Voiceline,
Chicken jockey!,Chicken jockey!,Jack Black,Actor,Meme,Voiceline,
